"Samples per sec. = 240/1"
""
""
"sec","PSI","PSI"
.000, 1.4511E+02, 1.4582E+02
.008, 1.4511E+02, 1.4582E+02
.017, 1.4511E+02, 1.4582E+02
.025, 1.4511E+02, 1.4582E+02
.033, 1.4511E+02, 1.4582E+02
.042, 1.4582E+02, 1.4582E+02
.050, 1.4511E+02, 1.4582E+02
.058, 1.4511E+02, 1.4582E+02
.067, 1.4582E+02, 1.4582E+02
.075, 1.4511E+02, 1.4582E+02
.083, 1.4511E+02, 1.4582E+02
.092, 1.4511E+02, 1.4582E+02
.100, 1.4511E+02, 1.4582E+02
.108, 1.4511E+02, 1.4582E+02
.117, 1.4511E+02, 1.4582E+02
.125, 1.4511E+02, 1.4582E+02
.133, 1.4511E+02, 1.4582E+02
.142, 1.4582E+02, 1.4582E+02
.150, 1.4511E+02, 1.4582E+02
.158, 1.4511E+02, 1.4582E+02
.167, 1.4582E+02, 1.4582E+02
.175, 1.4582E+02, 1.4582E+02
.183, 1.4511E+02, 1.4582E+02
.192, 1.4582E+02, 1.4582E+02
.200, 1.4511E+02, 1.4582E+02
.208, 1.4511E+02, 1.4582E+02
.217, 1.4582E+02, 1.4582E+02
.225, 1.4511E+02, 1.4582E+02
.233, 1.4511E+02, 1.4582E+02
.242, 1.4511E+02, 1.4582E+02
.250, 1.4511E+02, 1.4582E+02
.258, 1.4511E+02, 1.4582E+02
.267, 1.4511E+02, 1.4582E+02
.275, 1.4511E+02, 1.4582E+02
.283, 1.4511E+02, 1.4582E+02
.292, 1.4511E+02, 1.4582E+02
.300, 1.4511E+02, 1.4582E+02
.308, 1.4511E+02, 1.4582E+02
.317, 1.4511E+02, 1.4582E+02
.325, 1.4582E+02, 1.4582E+02
.333, 1.4511E+02, 1.4582E+02
.342, 1.4582E+02, 1.4582E+02
.350, 1.4511E+02, 1.4582E+02
.358, 1.4511E+02, 1.4582E+02
.367, 1.4511E+02, 1.4582E+02
.375, 1.4511E+02, 1.4582E+02
.383, 1.4511E+02, 1.4582E+02
.392, 1.4511E+02, 1.4582E+02
.400, 1.4582E+02, 1.4582E+02
.408, 1.4511E+02, 1.4582E+02
.417, 1.4511E+02, 1.4582E+02
.425, 1.4582E+02, 1.4582E+02
.433, 1.4511E+02, 1.4582E+02
.442, 1.4582E+02, 1.4582E+02
.450, 1.4511E+02, 1.4582E+02
.458, 1.4511E+02, 1.4582E+02
.467, 1.4511E+02, 1.4582E+02
.475, 1.4582E+02, 1.4582E+02
.483, 1.4511E+02, 1.4582E+02
.492, 1.4511E+02, 1.4582E+02
.500, 1.4511E+02, 1.4582E+02
.508, 1.4511E+02, 1.4582E+02
.517, 1.4582E+02, 1.4582E+02
.525, 1.4582E+02, 1.4582E+02
.533, 1.4511E+02, 1.4582E+02
.542, 1.4582E+02, 1.4582E+02
.550, 1.4582E+02, 1.4582E+02
.558, 1.4582E+02, 1.4653E+02
.567, 1.4511E+02, 1.4582E+02
.575, 1.4511E+02, 1.4582E+02
.583, 1.4511E+02, 1.4582E+02
.592, 1.4582E+02, 1.4582E+02
.600, 1.4511E+02, 1.4582E+02
.608, 1.4582E+02, 1.4582E+02
.617, 1.4582E+02, 1.4582E+02
.625, 1.4582E+02, 1.4582E+02
.633, 1.4582E+02, 1.4582E+02
.642, 1.4582E+02, 1.4582E+02
.650, 1.4582E+02, 1.4582E+02
.658, 1.4511E+02, 1.4582E+02
.667, 1.4582E+02, 1.4582E+02
.675, 1.4582E+02, 1.4582E+02
.683, 1.4511E+02, 1.4582E+02
.692, 1.4582E+02, 1.4582E+02
.700, 1.4511E+02, 1.4582E+02
.708, 1.4511E+02, 1.4582E+02
.717, 1.4582E+02, 1.4582E+02
.725, 1.4511E+02, 1.4582E+02
.733, 1.4582E+02, 1.4653E+02
.742, 1.4582E+02, 1.4582E+02
.750, 1.4582E+02, 1.4582E+02
.758, 1.4511E+02, 1.4582E+02
.767, 1.4582E+02, 1.4582E+02
.775, 1.4511E+02, 1.4582E+02
.783, 1.4582E+02, 1.4582E+02
.792, 1.4582E+02, 1.4582E+02
.800, 1.4511E+02, 1.4582E+02
.808, 1.4582E+02, 1.4653E+02
.817, 1.4582E+02, 1.4582E+02
.825, 1.4511E+02, 1.4582E+02
.833, 1.4511E+02, 1.4582E+02
.842, 1.4582E+02, 1.4582E+02
.850, 1.4582E+02, 1.4582E+02
.858, 1.4582E+02, 1.4653E+02
.867, 1.4582E+02, 1.4582E+02
.875, 1.4582E+02, 1.4582E+02
.883, 1.4582E+02, 1.4582E+02
.892, 1.4582E+02, 1.4653E+02
.900, 1.4582E+02, 1.4653E+02
.908, 1.4582E+02, 1.4653E+02
.917, 1.4582E+02, 1.4582E+02
.925, 1.4582E+02, 1.4582E+02
.933, 1.4582E+02, 1.4582E+02
.942, 1.4582E+02, 1.4653E+02
.950, 1.4582E+02, 1.4582E+02
.958, 1.4582E+02, 1.4582E+02
.967, 1.4582E+02, 1.4582E+02
.975, 1.4582E+02, 1.4582E+02
.983, 1.4582E+02, 1.4653E+02
.992, 1.4582E+02, 1.4653E+02
1.000, 1.4582E+02, 1.4582E+02
1.008, 1.4582E+02, 1.4653E+02
1.017, 1.4582E+02, 1.4653E+02
1.025, 1.4582E+02, 1.4582E+02
1.033, 1.4582E+02, 1.4653E+02
1.042, 1.4582E+02, 1.4653E+02
1.050, 1.4582E+02, 1.4582E+02
1.058, 1.4582E+02, 1.4582E+02
1.067, 1.4582E+02, 1.4582E+02
1.075, 1.4582E+02, 1.4653E+02
1.083, 1.4582E+02, 1.4582E+02
1.092, 1.4582E+02, 1.4653E+02
1.100, 1.4582E+02, 1.4582E+02
1.108, 1.4582E+02, 1.4653E+02
1.117, 1.4582E+02, 1.4653E+02
1.125, 1.4582E+02, 1.4582E+02
1.133, 1.4582E+02, 1.4653E+02
1.142, 1.4582E+02, 1.4653E+02
1.150, 1.4582E+02, 1.4653E+02
1.158, 1.4582E+02, 1.4653E+02
1.167, 1.4582E+02, 1.4582E+02
1.175, 1.4582E+02, 1.4582E+02
1.183, 1.4582E+02, 1.4653E+02
1.192, 1.4582E+02, 1.4582E+02
1.200, 1.4582E+02, 1.4653E+02
1.208, 1.4582E+02, 1.4582E+02
1.217, 1.4582E+02, 1.4653E+02
1.225, 1.4582E+02, 1.4653E+02
1.233, 1.4582E+02, 1.4653E+02
1.242, 1.4582E+02, 1.4582E+02
1.250, 1.4582E+02, 1.4582E+02
1.258, 1.4582E+02, 1.4653E+02
