"Samples per sec. = 240/1"
""
""
"sec","PSI","PSI"
1.242, 1.4369E+02, 8.1443E-01
1.250, 1.4440E+02, 8.1443E-01
1.258, 1.4440E+02, 8.1443E-01
1.267, 1.4440E+02, 8.1443E-01
1.275, 1.4440E+02, 8.1443E-01
1.283, 1.4440E+02, 8.1443E-01
1.292, 1.3927E+02, 8.1443E-01
1.300, 1.4369E+02, 8.1443E-01
1.308, 1.4440E+02, 8.1443E-01
1.317, 1.4210E+02, 1.6997E+00
1.325, 1.4139E+02, 1.6997E+00
1.333, 1.4511E+02, 1.6997E+00
1.342, 1.4511E+02, 1.6997E+00
1.350, 1.4299E+02, 1.6997E+00
1.358, 1.4369E+02, 1.6997E+00
1.367, 1.4511E+02, 1.6997E+00
1.375, 1.4440E+02, 1.6997E+00
1.383, 1.4369E+02, 1.6997E+00
1.392, 1.4369E+02, 2.4079E+00
1.400, 1.4440E+02, 1.6997E+00
1.408, 1.4369E+02, 1.6997E+00
1.417, 1.4369E+02, 2.4079E+00
1.425, 1.4440E+02, 2.4079E+00
1.433, 1.4440E+02, 2.4079E+00
1.442, 1.4440E+02, 2.4079E+00
1.450, 1.4440E+02, 2.4079E+00
1.458, 1.4440E+02, 2.4079E+00
1.467, 1.4440E+02, 2.4079E+00
1.475, 1.4440E+02, 2.4079E+00
1.483, 1.4440E+02, 2.4079E+00
1.492, 1.4440E+02, 2.4079E+00
1.500, 1.4440E+02, 2.4079E+00
1.508, 1.4440E+02, 2.4079E+00
1.517, 1.4440E+02, 2.4079E+00
1.525, 1.4440E+02, 3.1161E+00
1.533, 1.4440E+02, 2.4079E+00
1.542, 1.4440E+02, 3.1161E+00
1.550, 1.4440E+02, 3.1161E+00
1.558, 1.4440E+02, 3.1161E+00
1.567, 1.4440E+02, 3.1161E+00
1.575, 1.4440E+02, 3.1161E+00
1.583, 1.4440E+02, 3.1161E+00
1.592, 1.4440E+02, 3.1161E+00
1.600, 1.4440E+02, 3.1161E+00
1.608, 1.4440E+02, 3.1161E+00
1.617, 1.4440E+02, 3.1161E+00
1.625, 1.4511E+02, 3.1161E+00
1.633, 1.4511E+02, 3.1161E+00
1.642, 1.4440E+02, 3.1161E+00
1.650, 1.4440E+02, 3.1161E+00
1.658, 1.4440E+02, 3.1161E+00
1.667, 1.4440E+02, 3.1161E+00
1.675, 1.4511E+02, 3.8243E+00
1.683, 1.4440E+02, 3.8243E+00
1.692, 1.4511E+02, 3.8243E+00
1.700, 1.4440E+02, 3.8243E+00
1.708, 1.4511E+02, 3.8243E+00
1.717, 1.4440E+02, 3.8243E+00
1.725, 1.4511E+02, 3.8243E+00
1.733, 1.4440E+02, 3.1161E+00
1.742, 1.4440E+02, 3.8243E+00
1.750, 1.4440E+02, 3.8243E+00
1.758, 1.4511E+02, 3.8243E+00
1.767, 1.4440E+02, 3.8243E+00
1.775, 1.4511E+02, 3.8243E+00
1.783, 1.4511E+02, 3.8243E+00
1.792, 1.4511E+02, 3.8243E+00
1.800, 1.4511E+02, 3.8243E+00
1.808, 1.4511E+02, 3.8243E+00
1.817, 1.4511E+02, 3.8243E+00
1.825, 1.4511E+02, 4.5325E+00
1.833, 1.4511E+02, 4.5325E+00
1.842, 1.4511E+02, 3.8243E+00
1.850, 1.4369E+02, 3.8243E+00
1.858, 1.0386E+02, 1.1260E+01
1.867, 9.8724E+01, 1.9228E+01
1.875, 1.1501E+02, 2.4362E+01
1.883, 1.2811E+02, 2.5247E+01
1.892, 1.3254E+02, 2.5247E+01
1.900, 1.3325E+02, 2.5247E+01
1.908, 1.3555E+02, 2.5247E+01
1.917, 1.3927E+02, 2.5247E+01
1.925, 1.3998E+02, 2.5247E+01
1.933, 1.4068E+02, 2.5247E+01
1.942, 1.4210E+02, 2.5247E+01
1.950, 1.4369E+02, 2.5247E+01
1.958, 1.4299E+02, 2.5247E+01
1.967, 1.0616E+02, 3.1090E+01
1.975, 9.8724E+01, 3.8349E+01
1.983, 1.0103E+02, 4.5077E+01
1.992, 1.2298E+02, 4.5785E+01
2.000, 1.2971E+02, 4.5785E+01
2.008, 1.3183E+02, 4.5077E+01
2.017, 1.3254E+02, 4.5077E+01
2.025, 1.3626E+02, 4.5077E+01
2.033, 1.3856E+02, 4.5077E+01
2.042, 1.3998E+02, 4.5077E+01
2.050, 1.4068E+02, 4.5077E+01
2.058, 1.4210E+02, 4.5077E+01
2.067, 1.4299E+02, 4.4369E+01
2.075, 1.4299E+02, 4.5077E+01
2.083, 1.4369E+02, 4.4369E+01
2.092, 1.2369E+02, 4.5785E+01
2.100, 1.0457E+02, 5.3930E+01
2.108, 1.0014E+02, 6.0481E+01
2.117, 1.0687E+02, 6.5615E+01
2.125, 1.2457E+02, 6.5615E+01
2.133, 1.3042E+02, 6.4907E+01
2.142, 1.3112E+02, 6.4907E+01
2.150, 1.3325E+02, 6.4907E+01
2.158, 1.3697E+02, 6.4907E+01
2.167, 1.3856E+02, 6.4907E+01
2.175, 1.3998E+02, 6.4907E+01
2.183, 1.4068E+02, 6.4907E+01
2.192, 1.4210E+02, 6.4199E+01
2.200, 1.4299E+02, 6.4199E+01
2.208, 1.4210E+02, 6.4199E+01
2.217, 1.0988E+02, 7.0749E+01
2.225, 1.0616E+02, 7.7300E+01
2.233, 1.0545E+02, 8.2612E+01
2.242, 1.1342E+02, 8.5445E+01
2.250, 1.2670E+02, 8.5445E+01
2.258, 1.3042E+02, 8.5445E+01
2.267, 1.3112E+02, 8.5445E+01
2.275, 1.3413E+02, 8.5445E+01
2.283, 1.3697E+02, 8.4737E+01
2.292, 1.3856E+02, 8.4737E+01
2.300, 1.3998E+02, 8.4737E+01
2.308, 1.4139E+02, 8.4737E+01
2.317, 1.4210E+02, 8.4028E+01
2.325, 1.4210E+02, 8.4028E+01
2.333, 1.4299E+02, 8.4028E+01
2.342, 1.2015E+02, 8.6153E+01
2.350, 1.1413E+02, 9.2881E+01
2.358, 1.1271E+02, 9.7307E+01
2.367, 1.1342E+02, 1.0085E+02
2.375, 1.1572E+02, 1.0457E+02
2.383, 1.2811E+02, 1.0457E+02
2.392, 1.3112E+02, 1.0457E+02
2.400, 1.3254E+02, 1.0386E+02
2.408, 1.3484E+02, 1.0386E+02
2.417, 1.3767E+02, 1.0386E+02
2.425, 1.3927E+02, 1.0386E+02
2.433, 1.3998E+02, 1.0386E+02
2.442, 1.4139E+02, 1.0315E+02
2.450, 1.4210E+02, 1.0315E+02
2.458, 1.4139E+02, 1.0315E+02
2.467, 1.2015E+02, 1.0828E+02
2.475, 1.2015E+02, 1.1200E+02
2.483, 1.2227E+02, 1.1484E+02
2.492, 1.2227E+02, 1.1785E+02
2.500, 1.2457E+02, 1.1997E+02
2.508, 1.3183E+02, 1.2068E+02
2.517, 1.3413E+02, 1.1997E+02
2.525, 1.3484E+02, 1.1997E+02
2.533, 1.3697E+02, 1.1926E+02
2.542, 1.3998E+02, 1.1926E+02
2.550, 1.4068E+02, 1.1926E+02
2.558, 1.4068E+02, 1.1855E+02
2.567, 1.4210E+02, 1.1855E+02
2.575, 1.4299E+02, 1.1855E+02
2.583, 1.4299E+02, 1.1855E+02
2.592, 1.2741E+02, 1.1997E+02
2.600, 1.2900E+02, 1.2369E+02
2.608, 1.2971E+02, 1.2599E+02
2.617, 1.3042E+02, 1.2811E+02
2.625, 1.3112E+02, 1.2953E+02
2.633, 1.3183E+02, 1.3024E+02
2.642, 1.3555E+02, 1.3112E+02
2.650, 1.3856E+02, 1.3112E+02
2.658, 1.3856E+02, 1.3112E+02
2.667, 1.3927E+02, 1.3024E+02
2.675, 1.4139E+02, 1.3024E+02
2.683, 1.4210E+02, 1.3024E+02
2.692, 1.4210E+02, 1.3024E+02
2.700, 1.4299E+02, 1.3024E+02
2.708, 1.4068E+02, 1.3024E+02
2.717, 1.3325E+02, 1.3254E+02
2.725, 1.3413E+02, 1.3396E+02
2.733, 1.3555E+02, 1.3466E+02
2.742, 1.3555E+02, 1.3626E+02
2.750, 1.3626E+02, 1.3626E+02
2.758, 1.3767E+02, 1.3767E+02
2.767, 1.4068E+02, 1.3697E+02
2.775, 1.4068E+02, 1.3697E+02
2.783, 1.4068E+02, 1.3697E+02
2.792, 1.4210E+02, 1.3697E+02
2.800, 1.4299E+02, 1.3697E+02
2.808, 1.4299E+02, 1.3626E+02
2.817, 1.4210E+02, 1.3626E+02
2.825, 1.4299E+02, 1.3626E+02
2.833, 1.4299E+02, 1.3626E+02
2.842, 1.3626E+02, 1.3697E+02
2.850, 1.3856E+02, 1.3767E+02
2.858, 1.3927E+02, 1.3838E+02
2.867, 1.3927E+02, 1.3909E+02
2.875, 1.3927E+02, 1.3980E+02
2.883, 1.3927E+02, 1.3980E+02
2.892, 1.3998E+02, 1.3980E+02
2.900, 1.4210E+02, 1.3980E+02
2.908, 1.4210E+02, 1.3980E+02
2.917, 1.4139E+02, 1.3980E+02
2.925, 1.4299E+02, 1.3980E+02
2.933, 1.4369E+02, 1.3909E+02
2.942, 1.4299E+02, 1.3909E+02
2.950, 1.4210E+02, 1.3909E+02
2.958, 1.4139E+02, 1.3909E+02
2.967, 1.3927E+02, 1.3980E+02
2.975, 1.3927E+02, 1.4068E+02
2.983, 1.4068E+02, 1.4068E+02
2.992, 1.4068E+02, 1.4139E+02
3.000, 1.4068E+02, 1.4139E+02
3.008, 1.4068E+02, 1.4139E+02
3.017, 1.4210E+02, 1.4139E+02
3.025, 1.4299E+02, 1.4139E+02
3.033, 1.4210E+02, 1.4139E+02
3.042, 1.4210E+02, 1.4139E+02
3.050, 1.4299E+02, 1.4139E+02
3.058, 1.4299E+02, 1.4068E+02
3.067, 1.4299E+02, 1.4068E+02
3.075, 1.4299E+02, 1.4068E+02
3.083, 1.4299E+02, 1.4068E+02
3.092, 1.4068E+02, 1.4068E+02
3.100, 1.4139E+02, 1.4139E+02
3.108, 1.4210E+02, 1.4139E+02
3.117, 1.4139E+02, 1.4210E+02
3.125, 1.4139E+02, 1.4210E+02
3.133, 1.4139E+02, 1.4139E+02
3.142, 1.4139E+02, 1.4139E+02
3.150, 1.4210E+02, 1.4139E+02
3.158, 1.4299E+02, 1.4139E+02
3.167, 1.4210E+02, 1.4139E+02
3.175, 1.4299E+02, 1.4139E+02
3.183, 1.4299E+02, 1.4139E+02
